condition,model_seed,horizon_steps,metric,mae,sample_count
Data-only graph,44,1,blocked_delta,0.27004065614052214,1580
Data-only graph,44,3,delta_time_sec,3.810218254901186,1580
Data-only graph,44,3,delta_energy_wh,1.7237950402158726,1580
Data-only graph,44,3,blocked_delta,0.3252216554329365,1580
Data-only graph,44,5,delta_time_sec,4.1361935644964625,1580
Data-only graph,44,5,delta_energy_wh,1.975342691868921,1580
Data-only graph,44,5,blocked_delta,0.3789570301393919,1580
Data-only graph,44,10,delta_time_sec,5.5153523546985435,1580
Data-only graph,44,10,delta_energy_wh,2.690236736909498,1580
Data-only graph,44,10,blocked_delta,0.5647635369031112,1580
